TILEID,SURVEY,PROGRAM,FAPRGRM,FAFLAVOR,NEXP,EXPTIME,TILERA,TILEDEC,EFFTIME_ETC,EFFTIME_SPEC,EFFTIME_GFA,GOALTIME,OBSSTATUS,LRG_EFFTIME_DARK,ELG_EFFTIME_DARK,BGS_EFFTIME_BRIGHT,LYA_EFFTIME_DARK,GOALTYPE,MINTFRAC,LASTNIGHT
80707,sv1,dark,elgqso,sv1elgqso,8,7012.4,192.9,27.1,0.0,4773.5,0.0,4000.0,obsend,4765.4,4773.5,4960.7,6967.7,dark,0.9,20210208
80701,sv1,dark,elg,sv1elg,19,17061.1,162.5,-27.0,0.0,4978.0,0.0,4000.0,obsend,4747.1,4978.0,4800.8,3180.5,dark,0.9,20210212
80692,sv1,dark,lrgqso,sv1lrgqso,11,7782.3,139.0,32.375,0.0,4934.3,0.0,4000.0,obsend,4720.8,4934.3,4864.4,5276.2,dark,0.9,20210214
80690,sv1,dark,lrgqso,sv1lrgqso,24,15684.2,135.0,32.375,0.0,6476.2,0.0,4000.0,obsend,6119.5,6476.2,6440.1,6551.0,dark,0.9,20210216
80685,sv1,dark,elgqso,sv1elgqso,18,11715.2,120.0,34.0,0.0,5449.2,0.0,4000.0,obsend,5112.6,5449.2,5222.0,4729.5,dark,0.9,20210216
80705,sv1,dark,elg,sv1elg,12,10581.7,184.0,-0.5,0.0,3861.9,0.0,4000.0,obsend,3656.5,3861.9,3789.3,3631.7,dark,0.9,20210218
80658,sv1,bright,bgsmws,sv1bgsmws,12,8488.8,163.736,47.858,0.0,1245.0,0.0,600.0,obsend,1168.6,1356.4,1245.0,801.2,bright,0.9,20210220
80649,sv1,bright,bgsmws,sv1bgsmws,7,4156.7,135.0,32.375,0.0,817.4,0.0,600.0,obsend,759.7,839.0,817.4,719.9,bright,0.9,20210220
80637,sv1,bright,bgsmws,sv1bgsmws,5,3633.1,38.5,0.5,0.0,213.7,0.0,600.0,obsstart,203.7,256.0,213.7,76.1,bright,0.9,20210221
80708,sv1,dark,lrgqso,sv1lrgqso,2,1198.1,196.6,27.1,0.0,708.4,0.0,4000.0,obsstart,672.9,708.4,694.3,676.1,dark,0.9,20210221
